id,marca,modelo,ano,cor,preco,quilometragem,status,data_entrada,vendedor_id,categoria
CAR0001,Chevrolet,Cruze,2020,Branco,63237,85962,Reservado,2025-05-08,VEND09,Pickup
CAR0002,Hyundai,Elantra,2020,Prata,28260,16592,Disponível,2025-07-23,VEND02,Sedan
CAR0003,Honda,Civic,2022,Vermelho,29634,75011,Vendido,2025-01-22,VEND02,Sedan
CAR0004,Hyundai,Tucson,2020,Prata,30732,68950,Disponível,2025-05-25,VEND09,Hatchback
CAR0005,Volkswagen,Passat,2024,Azul,28546,41802,Disponível,2025-07-30,VEND07,Sedan
CAR0006,Ford,Escape,2021,Cinza,43233,12850,Disponível,2025-09-23,VEND03,Hatchback
CAR0007,Toyota,Corolla,2020,Azul,58005,41845,Reservado,2025-06-10,VEND02,Sedan
CAR0008,Toyota,Corolla,2022,Cinza,27466,39412,Vendido,2025-02-09,VEND03,Hatchback
CAR0009,Toyota,Camry,2023,Cinza,52150,79976,Disponível,2025-04-05,VEND10,Pickup
CAR0010,Ford,Escape,2024,Azul,29038,3517,Disponível,2025-06-06,VEND01,SUV
CAR0011,Honda,Civic,2020,Vermelho,54759,22213,Vendido,2025-04-08,VEND03,SUV
CAR0012,Chevrolet,Malibu,2024,Prata,52219,66258,Vendido,2025-01-18,VEND03,Sedan
CAR0013,Toyota,RAV4,2024,Prata,34226,88545,Disponível,2024-12-22,VEND04,SUV
CAR0014,Chevrolet,Equinox,2022,Preto,49464,13902,Disponível,2025-04-07,VEND09,SUV
CAR0015,Honda,Pilot,2024,Prata,40101,21444,Reservado,2024-12-24,VEND09,Pickup
CAR0016,Nissan,Rogue,2020,Prata,58515,70712,Reservado,2025-01-08,VEND05,Sedan
CAR0017,Toyota,Prius,2024,Prata,56100,76006,Disponível,2025-08-17,VEND07,Hatchback
CAR0018,Volkswagen,Atlas,2022,Preto,33028,3428,Reservado,2024-12-24,VEND07,Hatchback
CAR0019,Hyundai,Tucson,2021,Vermelho,54214,65865,Vendido,2025-05-27,VEND01,Sedan
CAR0020,Toyota,Camry,2024,Preto,47358,39843,Disponível,2024-12-06,VEND05,SUV
CAR0021,Toyota,Corolla,2023,Branco,58101,30228,Vendido,2025-03-08,VEND06,SUV
CAR0022,Nissan,Rogue,2020,Preto,49285,80672,Disponível,2025-08-28,VEND10,Hatchback
CAR0023,Volkswagen,Tiguan,2024,Branco,29502,62018,Reservado,2025-03-14,VEND07,Sedan
CAR0024,Nissan,Sentra,2023,Preto,68099,56389,Disponível,2025-09-07,VEND03,Sedan
CAR0025,Ford,Focus,2021,Vermelho,60923,52408,Disponível,2025-03-17,VEND08,SUV
CAR0026,Honda,Pilot,2022,Vermelho,29151,76802,Disponível,2025-05-31,VEND03,Hatchback
CAR0027,Volkswagen,Passat,2021,Branco,35715,57947,Reservado,2025-05-29,VEND01,Hatchback
CAR0028,Ford,F-150,2023,Branco,30958,12846,Vendido,2025-03-20,VEND06,Pickup
CAR0029,Nissan,Pathfinder,2023,Branco,67651,42004,Disponível,2025-08-31,VEND08,Pickup
CAR0030,Ford,Fusion,2021,Prata,57146,83389,Vendido,2025-11-07,VEND07,Hatchback
CAR0031,Ford,Fusion,2021,Cinza,27798,48563,Disponível,2025-09-21,VEND01,SUV
CAR0032,Ford,Fusion,2023,Azul,75451,50879,Vendido,2025-06-27,VEND07,Hatchback
CAR0033,Volkswagen,Passat,2024,Vermelho,63792,770,Disponível,2025-07-02,VEND07,Hatchback
CAR0034,Hyundai,Tucson,2020,Preto,64803,29883,Disponível,2025-04-12,VEND05,Hatchback
CAR0035,Hyundai,Sonata,2020,Branco,36608,2952,Disponível,2025-01-23,VEND04,Sedan
CAR0036,Hyundai,Sonata,2021,Branco,72939,66830,Disponível,2025-11-26,VEND09,Pickup
CAR0037,Hyundai,Tucson,2020,Preto,52961,92008,Vendido,2025-04-28,VEND08,Sedan
CAR0038,Nissan,Sentra,2024,Azul,50650,17298,Disponível,2024-12-04,VEND10,Sedan
CAR0039,Volkswagen,Passat,2024,Vermelho,79037,54304,Disponível,2025-02-28,VEND04,Hatchback
CAR0040,Nissan,Sentra,2020,Vermelho,67055,96653,Disponível,2025-02-11,VEND02,Pickup
CAR0041,Volkswagen,Jetta,2022,Preto,36582,50875,Disponível,2025-01-21,VEND04,Pickup
