venda_id,car_id,data_venda,preco_venda,vendedor_id,cliente_id,forma_pagamento
SALE0001,CAR0726,2025-09-18,54699.24235306502,VEND07,CLI329,À vista
SALE0002,CAR0137,2025-11-30,27625.456071160617,VEND03,CLI335,À vista
SALE0003,CAR0750,2025-11-22,33541.968458757525,VEND06,CLI386,Financiado
SALE0004,CAR0197,2025-11-28,41967.686735276046,VEND10,CLI116,À vista
SALE0005,CAR0146,2025-08-01,53065.4518713621,VEND03,CLI412,Consórcio
SALE0006,CAR0411,2025-06-28,64535.83523613813,VEND08,CLI094,Financiado
SALE0007,CAR0258,2025-11-26,37617.716531104124,VEND01,CLI346,À vista
SALE0008,CAR0074,2025-06-22,77184.82957801345,VEND09,CLI006,À vista
SALE0009,CAR0328,2025-07-24,51031.83909132279,VEND06,CLI073,À vista
SALE0010,CAR0926,2025-11-13,39697.022698183966,VEND08,CLI113,Financiado
SALE0011,CAR0688,2025-09-01,62201.97603484111,VEND07,CLI428,Consórcio
SALE0012,CAR0395,2025-08-31,78692.31110946552,VEND04,CLI189,Financiado
SALE0013,CAR0003,2025-07-18,30478.80059281779,VEND02,CLI205,Financiado
SALE0014,CAR0941,2025-11-05,27908.27495302003,VEND08,CLI443,À vista
SALE0015,CAR0530,2025-06-26,51898.71947841247,VEND02,CLI335,Financiado
SALE0016,CAR0108,2025-08-12,50578.83939114123,VEND03,CLI416,À vista
SALE0017,CAR0497,2025-10-31,40614.69053098863,VEND09,CLI356,À vista
SALE0018,CAR0759,2025-11-11,69451.70414542434,VEND01,CLI319,À vista
SALE0019,CAR0329,2025-06-10,28323.12363373471,VEND10,CLI343,Consórcio
SALE0020,CAR0205,2025-09-30,63362.71572328223,VEND04,CLI200,Financiado
SALE0021,CAR0366,2025-11-23,36558.39832607252,VEND05,CLI061,Financiado
SALE0022,CAR0618,2025-11-02,37061.82155961736,VEND08,CLI209,À vista
SALE0023,CAR0421,2025-07-03,41511.603016681256,VEND08,CLI132,Consórcio
SALE0024,CAR0754,2025-11-16,68366.3986322248,VEND04,CLI430,Consórcio
SALE0025,CAR0316,2025-08-09,65953.77745491063,VEND05,CLI333,Consórcio
SALE0026,CAR0520,2025-07-24,49153.71816259247,VEND06,CLI161,Financiado
SALE0027,CAR0471,2025-11-27,30894.67232211578,VEND03,CLI492,À vista
SALE0028,CAR0903,2025-10-10,28977.74239089918,VEND06,CLI103,À vista
SALE0029,CAR0443,2025-06-22,68771.03928243698,VEND03,CLI206,À vista
SALE0030,CAR0915,2025-10-22,71341.94181928251,VEND02,CLI427,À vista
SALE0031,CAR0978,2025-08-09,48997.13166447849,VEND09,CLI384,À vista
SALE0032,CAR0863,2025-07-23,63604.333766312935,VEND08,CLI321,À vista
SALE0033,CAR0909,2025-08-22,48231.49829592345,VEND07,CLI356,Consórcio
SALE0034,CAR0679,2025-10-16,67006.16685730881,VEND10,CLI400,À vista
SALE0035,CAR0550,2025-11-21,47568.84828082894,VEND09,CLI250,À vista
SALE0036,CAR0977,2025-07-02,53959.89691341496,VEND06,CLI298,À vista
SALE0037,CAR0376,2025-10-04,24971.08440534502,VEND05,CLI136,Financiado
SALE0038,CAR0194,2025-11-13,49509.225049489425,VEND07,CLI301,À vista
SALE0039,CAR0192,2025-08-02,81518.02413922064,VEND08,CLI302,Consórcio
SALE0040,CAR0267,2025-07-31,76291.26018334436,VEND08,CLI065,Financiado
SALE0041,CAR0661,2025-07-29,50482.9203365328,VEND02,CLI089,Consórcio
SALE0042,CAR0080,2025-11-02,77345.4178930795,VEND04,CLI220,À vista
SALE0043,CAR0110,2025-06-09,79176.42830660564,VEND06,CLI448,Financiado
SALE0044,CAR0440,2025-09-24,72967.81434560017,VEND03,CLI178,À vista
SALE0045,CAR0253,2025-09-10,67413.16254807875,VEND06,CLI175,À vista
SALE0046,CAR0279,2025-11-24,61945.49386919478,VEND02,CLI066,Financiado
SALE0047,CAR0738,2025-07-22,47090.10447056283,VEND03,CLI039,Consórcio
SALE0048,CAR0826,2025-08-27,64071.864387635535,VEND09,CLI282,Financiado
SALE0049,CAR0465,2025-09-09,43114.77283315107,VEND10,CLI152,Consórcio
SALE0050,CAR0326,2025-09-09,40173.84730604444,VEND03,CLI111,Financiado
SALE0051,CAR0021,2025-12-02,59747.860591892975,VEND06,CLI421,Financiado
SALE0052,CAR0953,2025-11-17,64137.552393315375,VEND07,CLI224,Financiado
SALE0053,CAR0260,2025-08-16,63275.68192794153,VEND03,CLI068,Financiado
SALE0054,CAR0571,2025-06-14,52921.68193215928,VEND05,CLI434,Consórcio
SALE0055,CAR0747,2025-11-10,50212.2216314251,VEND06,CLI017,Financiado
SALE0056,CAR0767,2025-11-17,67053.2358833974,VEND08,CLI007,Financiado
SALE0057,CAR0426,2025-10-07,47120.24064394791,VEND04,CLI372,À vista
SALE0058,CAR0742,2025-08-24,81798.6392055859,VEND06,CLI163,Consórcio
SALE0059,CAR0103,2025-06-12,38207.72977316979,VEND06,CLI088,À vista
SALE0060,CAR0576,2025-09-08,80884.39713109244,VEND05,CLI053,Financiado
SALE0061,CAR0856,2025-09-08,55398.442718727616,VEND10,CLI224,Consórcio
SALE0062,CAR0943,2025-09-03,62286.65841754333,VEND10,CLI305,Consórcio
SALE0063,CAR0434,2025-11-09,38768.06355720072,VEND08,CLI448,Financiado
SALE0064,CAR0895,2025-09-30,37036.469867603555,VEND10,CLI350,À vista
SALE0065,CAR0133,2025-08-11,48373.66806461738,VEND10,CLI236,Financiado
SALE0066,CAR0305,2025-10-12,43881.02828436869,VEND08,CLI484,À vista
SALE0067,CAR0933,2025-09-21,43279.511541197804,VEND01,CLI324,Consórcio
SALE0068,CAR0687,2025-06-21,51659.70123457132,VEND01,CLI362,Financiado
SALE0069,CAR0732,2025-08-05,78711.6208596895,VEND02,CLI471,Consórcio
SALE0070,CAR0280,2025-11-01,55292.38148845313,VEND01,CLI283,À vista
SALE0071,CAR0285,2025-11-13,26066.84976237006,VEND08,CLI084,Consórcio
SALE0072,CAR0996,2025-11-03,33600.01495818419,VEND04,CLI131,Financiado
SALE0073,CAR0522,2025-10-19,45199.0276227744,VEND04,CLI396,À vista
SALE0074,CAR0844,2025-11-03,48088.585366470295,VEND05,CLI111,À vista
SALE0075,CAR0168,2025-11-14,67039.53974416488,VEND08,CLI107,Financiado
SALE0076,CAR0383,2025-11-28,35903.18168852766,VEND04,CLI029,Consórcio
SALE0077,CAR0301,2025-08-30,37531.21407234401,VEND05,CLI423,Consórcio
SALE0078,CAR0628,2025-07-17,39225.078005363976,VEND05,CLI397,À vista
SALE0079,CAR0904,2025-07-09,56023.487452282876,VEND02,CLI140,Financiado
SALE0080,CAR0827,2025-08-07,36870.55625606066,VEND02,CLI450,Consórcio
SALE0081,CAR0862,2025-11-26,47883.7344905791,VEND08,CLI194,Financiado
SALE0082,CAR0011,2025-09-30,56068.719531087074,VEND03,CLI295,Financiado
SALE0083,CAR0481,2025-10-21,25697.766626483863,VEND05,CLI475,Consórcio
SALE0084,CAR0528,2025-08-21,74861.64680112094,VEND02,CLI258,À vista
SALE0085,CAR0822,2025-08-16,41030.628485513436,VEND03,CLI163,Consórcio
SALE0086,CAR0910,2025-06-12,31521.612205684676,VEND07,CLI372,À vista
SALE0087,CAR0765,2025-10-12,48754.02841776397,VEND10,CLI231,Consórcio
SALE0088,CAR0780,2025-06-25,51835.775994279946,VEND06,CLI134,À vista
SALE0089,CAR0473,2025-07-28,71743.28605063548,VEND07,CLI336,À vista
SALE0090,CAR0459,2025-10-07,53056.71716658397,VEND06,CLI209,Financiado
SALE0091,CAR0178,2025-10-13,51153.31629450353,VEND10,CLI101,Consórcio
SALE0092,CAR0307,2025-09-03,69845.03072335778,VEND02,CLI223,À vista
SALE0093,CAR0947,2025-06-13,51111.08730078043,VEND08,CLI138,Financiado
SALE0094,CAR0486,2025-09-22,76005.08438764195,VEND04,CLI086,Financiado
SALE0095,CAR0918,2025-10-02,60549.835325196706,VEND01,CLI231,Financiado
SALE0096,CAR0567,2025-07-02,35092.62223256186,VEND02,CLI032,Financiado
SALE0097,CAR0409,2025-08-04,57526.25498705599,VEND07,CLI059,À vista
SALE0098,CAR0245,2025-07-06,72856.65597014074,VEND02,CLI034,Financiado
SALE0099,CAR0938,2025-06-17,50571.10429500076,VEND08,CLI218,Financiado
SALE0100,CAR0405,2025-12-01,54605.47753021505,VEND09,CLI125,Financiado
SALE0101,CAR0126,2025-06-30,61911.9643746254,VEND03,CLI235,Consórcio
SALE0102,CAR0950,2025-10-12,55021.23777854908,VEND06,CLI088,À vista
SALE0103,CAR0882,2025-09-15,41721.57940135011,VEND07,CLI486,À vista
SALE0104,CAR0044,2025-11-03,42770.18573230058,VEND01,CLI226,À vista
SALE0105,CAR0131,2025-09-02,46722.56361321771,VEND07,CLI071,Financiado
SALE0106,CAR0274,2025-06-14,53742.72510318311,VEND10,CLI353,Financiado
SALE0107,CAR0105,2025-07-23,40062.90978309107,VEND09,CLI268,Financiado
SALE0108,CAR0508,2025-10-10,68264.5604214635,VEND06,CLI241,Consórcio
SALE0109,CAR0320,2025-11-19,25642.31677771088,VEND06,CLI141,Consórcio
SALE0110,CAR0683,2025-06-07,64918.90188453676,VEND06,CLI198,Financiado
SALE0111,CAR0925,2025-07-31,42944.60194838282,VEND07,CLI249,À vista
SALE0112,CAR0843,2025-07-30,27262.47324537548,VEND09,CLI331,Consórcio
SALE0113,CAR0753,2025-11-25,72783.34594615395,VEND08,CLI396,À vista
SALE0114,CAR0464,2025-07-21,46921.75977770545,VEND10,CLI299,Financiado
SALE0115,CAR0012,2025-06-27,51390.717426463445,VEND03,CLI429,À vista
SALE0116,CAR0051,2025-07-09,33243.778173939936,VEND09,CLI213,Consórcio
SALE0117,CAR0591,2025-07-12,38464.09487558884,VEND03,CLI015,Consórcio
SALE0118,CAR0243,2025-07-07,36891.763322950086,VEND06,CLI374,Financiado
SALE0119,CAR0441,2025-07-16,63919.17579350061,VEND10,CLI144,Financiado
SALE0120,CAR0211,2025-11-25,47039.67264279381,VEND06,CLI496,Consórcio
SALE0121,CAR0657,2025-10-18,56152.0307773669,VEND07,CLI260,Financiado
SALE0122,CAR0937,2025-07-07,76901.34478502981,VEND04,CLI160,Consórcio
SALE0123,CAR0177,2025-06-18,52248.94689954729,VEND03,CLI035,Consórcio
SALE0124,CAR0709,2025-06-29,46391.85961729131,VEND07,CLI047,Consórcio
SALE0125,CAR0432,2025-06-30,54870.41031811875,VEND06,CLI210,À vista
SALE0126,CAR0107,2025-06-29,29711.49074456011,VEND03,CLI361,Consórcio
SALE0127,CAR0730,2025-10-20,71777.23358304737,VEND08,CLI342,Consórcio
SALE0128,CAR0238,2025-10-28,69643.14245278055,VEND05,CLI236,À vista
SALE0129,CAR0803,2025-09-11,51530.98857980389,VEND09,CLI269,Consórcio
SALE0130,CAR0008,2025-07-23,25353.95193008971,VEND03,CLI317,Financiado
SALE0131,CAR0154,2025-09-23,50995.762500052224,VEND04,CLI121,Financiado
SALE0132,CAR0579,2025-07-28,71256.59185687525,VEND02,CLI087,Financiado
SALE0133,CAR0483,2025-06-11,27852.355212011586,VEND06,CLI177,À vista
SALE0134,CAR0509,2025-09-21,74438.56165538217,VEND05,CLI384,À vista
SALE0135,CAR0139,2025-11-01,31490.194295790923,VEND05,CLI355,À vista
SALE0136,CAR0380,2025-10-05,48937.77775195008,VEND03,CLI376,Financiado
SALE0137,CAR0957,2025-06-26,29744.243562562442,VEND01,CLI054,À vista
SALE0138,CAR0037,2025-10-24,49101.389789809204,VEND08,CLI082,Consórcio
SALE0139,CAR0152,2025-07-27,58837.33245380827,VEND09,CLI399,Financiado
SALE0140,CAR0707,2025-09-11,33122.40345834776,VEND01,CLI243,Financiado
SALE0141,CAR0932,2025-06-30,30930.517659847344,VEND07,CLI403,Consórcio
SALE0142,CAR0314,2025-08-09,33485.88576957692,VEND07,CLI250,À vista
SALE0143,CAR0636,2025-08-22,73104.7254528891,VEND07,CLI321,À vista
SALE0144,CAR0408,2025-07-20,30206.422625413532,VEND05,CLI239,Consórcio
SALE0145,CAR0782,2025-09-05,54447.54233998979,VEND04,CLI106,Financiado
SALE0146,CAR0722,2025-08-11,32492.810999940957,VEND05,CLI492,À vista
SALE0147,CAR0116,2025-08-24,61405.41191686539,VEND02,CLI152,À vista
